country,country_code,year_week,number_deaths
AL,Albania,2020-01,488
AL,Albania,2020-02,536
AL,Albania,2020-03,462
AL,Albania,2020-04,504
AL,Albania,2020-05,482
AL,Albania,2020-06,473
AL,Albania,2020-07,505
AL,Albania,2020-08,466
AL,Albania,2020-09,511
AL,Albania,2020-10,467
AL,Albania,2020-11,441
AL,Albania,2020-12,414
AL,Albania,2020-13,458
AL,Albania,2020-14,453
AL,Albania,2020-15,459
AL,Albania,2020-16,378
AL,Albania,2020-17,410
AL,Albania,2020-18,431
AL,Albania,2020-19,433
AL,Albania,2020-20,425
AL,Albania,2020-21,403
AL,Albania,2020-22,354
AL,Albania,2020-23,364
AL,Albania,2020-24,387
AL,Albania,2020-25,409
AL,Albania,2020-26,475
AL,Albania,2020-27,530
AL,Albania,2020-28,458
AL,Albania,2020-29,454
AL,Albania,2020-30,464
AL,Albania,2020-31,583
AL,Albania,2020-32,564
AL,Albania,2020-33,578
AL,Albania,2020-34,548
AL,Albania,2020-35,528
AL,Albania,2020-36,461
AL,Albania,2020-37,475
AL,Albania,2020-38,481
AL,Albania,2020-39,463
AL,Albania,2020-40,434
AL,Albania,2020-41,505
AL,Albania,2020-42,528
AL,Albania,2020-43,569
AL,Albania,2020-44,661
AL,Albania,2020-45,790
AL,Albania,2020-46,925
AL,Albania,2020-47,956
AL,Albania,2020-48,925
AL,Albania,2020-49,988
AL,Albania,2020-50,838
AL,Albania,2020-51,768
AL,Albania,2020-52,605
AL,Albania,2020-53,347
AL,Albania,2021-01,663
AL,Albania,2021-02,619
AL,Albania,2021-03,697
AL,Albania,2021-04,737
AL,Albania,2021-05,810
AL,Albania,2021-06,887
AL,Albania,2021-07,1048
AL,Albania,2021-08,993
AL,Albania,2021-09,896
AL,Albania,2021-10,803
AL,Albania,2021-11,700
AL,Albania,2021-12,487
AL,Albania,2021-13,629
AL,Albania,2021-14,600
AL,Albania,2021-15,560
AL,Albania,2021-16,536
AL,Albania,2021-17,526
AL,Albania,2021-18,445
AL,Albania,2021-19,425
AL,Albania,2021-20,400
AL,Albania,2021-21,399
AL,Albania,2021-22,406
AL,Albania,2021-23,384
AL,Albania,2021-24,381
AL,Albania,2021-25,470
AL,Albania,2021-26,460
AL,Albania,2021-27,437
AL,Albania,2021-28,397
AL,Albania,2021-29,342
AL,Albania,2021-30,431
AL,Albania,2021-31,453
AL,Albania,2021-32,474
AL,Albania,2021-33,489
AL,Albania,2021-34,454
AL,Albania,2021-35,470
AL,Albania,2021-36,556
AL,Albania,2021-37,622
AL,Albania,2021-38,0
AL,Albania,2021-39,0
AL,Albania,2021-40,0
AL,Albania,2021-41,0
AL,Albania,2021-42,0
AL,Albania,2021-43,0
AL,Albania,2021-44,0
AL,Albania,2021-45,0
AL,Albania,2021-46,0
AL,Albania,2021-47,0
AL,Albania,2021-48,0
AL,Albania,2021-49,0
AL,Albania,2021-50,0
AL,Albania,2021-51,0
AL,Albania,2021-52,0
AL,Albania,2021-99,0
AL,Albania,2022-01,0
AL,Albania,2022-02,0
AL,Albania,2022-03,0
AL,Albania,2022-04,0
AL,Albania,2022-05,0
AL,Albania,2022-06,0
AL,Albania,2022-07,0
AL,Albania,2022-08,0
AL,Albania,2022-09,0
AL,Albania,2022-10,0
AL,Albania,2022-11,0
AL,Albania,2022-12,0
AL,Albania,2022-13,0
AL,Albania,2022-14,0
AL,Albania,2022-15,0
AL,Albania,2022-16,0
AL,Albania,2022-17,0
AL,Albania,2022-18,0
AL,Albania,2022-19,0
AL,Albania,2022-20,0
AL,Albania,2022-21,0
AT,Austria,2020-01,1614
AT,Austria,2020-02,1702
AT,Austria,2020-03,1797
AT,Austria,2020-04,1779
AT,Austria,2020-05,1947
AT,Austria,2020-06,1682
AT,Austria,2020-07,1721
AT,Austria,2020-08,1719
AT,Austria,2020-09,1768
AT,Austria,2020-10,1744
AT,Austria,2020-11,1718
AT,Austria,2020-12,1836
AT,Austria,2020-13,1765
AT,Austria,2020-14,1828
AT,Austria,2020-15,1793
AT,Austria,2020-16,1704
AT,Austria,2020-17,1588
AT,Austria,2020-18,1480
AT,Austria,2020-19,1520
AT,Austria,2020-20,1489
AT,Austria,2020-21,1481
AT,Austria,2020-22,1418
AT,Austria,2020-23,1490
AT,Austria,2020-24,1461
AT,Austria,2020-25,1413
AT,Austria,2020-26,1438
AT,Austria,2020-27,1561
AT,Austria,2020-28,1383
AT,Austria,2020-29,1443
AT,Austria,2020-30,1452
AT,Austria,2020-31,1527
AT,Austria,2020-32,1433
AT,Austria,2020-33,1607
AT,Austria,2020-34,1477
AT,Austria,2020-35,1500
AT,Austria,2020-36,1523
AT,Austria,2020-37,1568
AT,Austria,2020-38,1569
AT,Austria,2020-39,1532
AT,Austria,2020-40,1587
AT,Austria,2020-41,1624
AT,Austria,2020-42,1619
AT,Austria,2020-43,1780
AT,Austria,2020-44,1896
AT,Austria,2020-45,2006
AT,Austria,2020-46,2287
AT,Austria,2020-47,2414
AT,Austria,2020-48,2442
AT,Austria,2020-49,2550
AT,Austria,2020-50,2479
AT,Austria,2020-51,2264
AT,Austria,2020-52,2131
AT,Austria,2020-53,2004
AT,Austria,2021-01,1962
AT,Austria,2021-02,1959
AT,Austria,2021-03,2009
AT,Austria,2021-04,1950
AT,Austria,2021-05,1868
AT,Austria,2021-06,1759
AT,Austria,2021-07,1722
AT,Austria,2021-08,1669
AT,Austria,2021-09,1590
AT,Austria,2021-10,1752
AT,Austria,2021-11,1694
AT,Austria,2021-12,1660
AT,Austria,2021-13,1778
AT,Austria,2021-14,1665
AT,Austria,2021-15,1698
AT,Austria,2021-16,1692
AT,Austria,2021-17,1700
AT,Austria,2021-18,1660
AT,Austria,2021-19,1607
AT,Austria,2021-20,1524
AT,Austria,2021-21,1492
AT,Austria,2021-22,1609
AT,Austria,2021-23,1565
AT,Austria,2021-24,1605
AT,Austria,2021-25,1655
AT,Austria,2021-26,1511
AT,Austria,2021-27,1471
AT,Austria,2021-28,1460
AT,Austria,2021-29,1584
AT,Austria,2021-30,1535
AT,Austria,2021-31,1461
AT,Austria,2021-32,1630
AT,Austria,2021-33,1624
AT,Austria,2021-34,1576
AT,Austria,2021-35,1555
AT,Austria,2021-36,1632
AT,Austria,2021-37,1584
AT,Austria,2021-38,1581
AT,Austria,2021-39,1676
AT,Austria,2021-40,1607
AT,Austria,2021-41,1636
AT,Austria,2021-42,1727
AT,Austria,2021-43,1896
AT,Austria,2021-44,1946
AT,Austria,2021-45,2063
AT,Austria,2021-46,2120
AT,Austria,2021-47,2158
AT,Austria,2021-48,2209
AT,Austria,2021-49,2133
AT,Austria,2021-50,1938
AT,Austria,2021-51,1854
AT,Austria,2021-52,1864
AT,Austria,2021-99,0
AT,Austria,2022-01,1755
