"variant_name","country_code","year_week","new_cases","number_deaths"
A.23.1+E484K,AT,"2020-01",0,1614
A.27,AT,"2020-01",0,1614
A.28,AT,"2020-01",0,1614
Alpha,AT,"2020-01",0,1614
AT.1,AT,"2020-01",0,1614
AV.1,AT,"2020-01",0,1614
B.1.1.318,AT,"2020-01",0,1614
B.1.1.519,AT,"2020-01",0,1614
B.1.214.2,AT,"2020-01",0,1614
B.1.526,AT,"2020-01",0,1614
B.1.616,AT,"2020-01",0,1614
B.1.617.3,AT,"2020-01",0,1614
B.1.620,AT,"2020-01",0,1614
B.1.640,AT,"2020-01",0,1614
Beta,AT,"2020-01",0,1614
C.1.2,AT,"2020-01",0,1614
C.16,AT,"2020-01",0,1614
C.36+L452R,AT,"2020-01",0,1614
Delta,AT,"2020-01",0,1614
Epsilon,AT,"2020-01",0,1614
Eta,AT,"2020-01",0,1614
Gamma,AT,"2020-01",0,1614
Kappa,AT,"2020-01",0,1614
Lambda,AT,"2020-01",0,1614
Mu,AT,"2020-01",0,1614
Omicron,AT,"2020-01",0,1614
Other,AT,"2020-01",0,1614
Theta,AT,"2020-01",0,1614
UNK,AT,"2020-01",0,1614
XD,AT,"2020-01",0,1614
XF,AT,"2020-01",0,1614
Zeta,AT,"2020-01",0,1614
A.23.1+E484K,AT,"2020-02",0,1702
A.27,AT,"2020-02",0,1702
A.28,AT,"2020-02",0,1702
Alpha,AT,"2020-02",0,1702
AT.1,AT,"2020-02",0,1702
AV.1,AT,"2020-02",0,1702
B.1.1.318,AT,"2020-02",0,1702
B.1.1.519,AT,"2020-02",0,1702
B.1.214.2,AT,"2020-02",0,1702
B.1.526,AT,"2020-02",0,1702
B.1.616,AT,"2020-02",0,1702
B.1.617.3,AT,"2020-02",0,1702
B.1.620,AT,"2020-02",0,1702
B.1.640,AT,"2020-02",0,1702
Beta,AT,"2020-02",0,1702
C.1.2,AT,"2020-02",0,1702
C.16,AT,"2020-02",0,1702
